Airline,Source,Destination,Total_Stops,Price,Date,Month,Year,Dep_hours,Dep_min,Arrival_hours,Arrival_min,Duration_hours,Duration_min
Air Asia,Banglore,Delhi,0,3383,6,5,2019,11,10,13,55,2,45
Air Asia,Banglore,Delhi,0,4483,3,4,2019,23,55,2,45,2,50
Air Asia,Banglore,Delhi,0,3383,12,6,2019,11,10,13,55,2,45
Air Asia,Kolkata,Banglore,0,4409,1,5,2019,10,20,12,55,2,35
Air India,Kolkata,Banglore,2,7662,1,5,2019,5,50,13,15,7,25
Air India,Delhi,Cochin,1,8907,1,6,2019,9,45,23,0,13,15
Air India,Chennai,Kolkata,0,4667,24,6,2019,11,40,13,55,2,15
Air India,Delhi,Cochin,2,14011,3,3,2019,16,40,19,15,26,35
Air India,Delhi,Cochin,2,13381,12,6,2019,20,15,19,15,23,0
Air India,Banglore,New Delhi,1,6955,21,3,2019,22,0,13,20,15,20
Air India,Kolkata,Banglore,2,13227,1,5,2019,9,50,23,15,13,25
Air India,Kolkata,Banglore,0,6245,18,5,2019,14,15,16,45,2,30
Air India,Banglore,New Delhi,1,8714,15,3,2019,6,45,15,15,8,30
Air India,Chennai,Kolkata,0,4667,3,5,2019,11,40,13,55,2,15
Air India,Kolkata,Banglore,1,6117,15,5,2019,19,0,11,5,16,5
Air India,Banglore,New Delhi,2,17345,1,3,2019,8,50,23,55,15,5
Air India,Kolkata,Banglore,1,8366,6,6,2019,9,25,21,50,12,25
Air India,Delhi,Cochin,1,5117,3,4,2019,6,5,9,25,27,20
Air India,Mumbai,Hyderabad,0,3625,6,5,2019,13,55,15,25,1,30
Air India,Delhi,Cochin,2,10861,21,5,2019,5,55,19,15,13,20
Air India,Delhi,Cochin,2,13748,6,3,2019,5,55,19,15,13,20
Air India,Kolkata,Banglore,0,4880,21,4,2019,20,45,23,20,2,35
Air India,Kolkata,Banglore,1,6528,12,5,2019,14,35,14,35,24,0
Air India,Banglore,Delhi,0,6121,1,5,2019,6,10,8,55,2,45
Air India,Delhi,Cochin,2,11596,9,5,2019,12,55,19,15,30,20
Air India,Delhi,Cochin,1,12677,6,3,2019,17,20,9,25,16,5
Air India,Mumbai,Hyderabad,0,3100,3,5,2019,15,0,16,25,1,25
Air India,Delhi,Cochin,1,27430,1,3,2019,23,0,19,15,20,15
Air India,Kolkata,Banglore,2,10676,21,5,2019,12,0,11,10,23,10
Air India,Banglore,New Delhi,1,5932,21,3,2019,11,50,19,50,8,0
Air India,Delhi,Cochin,2,10441,27,6,2019,22,0,19,15,21,15
Air India,Delhi,Cochin,1,5117,3,4,2019,12,30,9,25,20,55
Air India,Kolkata,Banglore,2,10697,9,5,2019,8,20,7,55,23,35
Air India,Kolkata,Banglore,1,7662,9,6,2019,12,0,13,15,25,15
Air India,Mumbai,Hyderabad,0,6092,3,3,2019,13,55,15,25,1,30
Air India,Delhi,Cochin,0,8246,18,4,2019,18,5,21,10,3,5
Air India,Delhi,Cochin,1,7165,27,3,2019,5,15,6,50,25,35
Air India,Banglore,New Delhi,0,4441,18,3,2019,13,20,16,10,2,50
Air India,Banglore,Delhi,0,6961,3,6,2019,21,5,23,55,2,50
Air India,Delhi,Cochin,0,6934,18,5,2019,5,10,8,0,2,50
Air India,Banglore,Delhi,0,5911,12,4,2019,10,0,12,45,2,45
Air India,Delhi,Cochin,1,8372,12,6,2019,9,0,19,15,10,15
Air India,Delhi,Cochin,2,13591,6,6,2019,14,25,19,15,28,50
Air India,Kolkata,Banglore,1,14641,24,3,2019,16,50,18,30,25,40
Air India,Kolkata,Banglore,0,4460,12,4,2019,20,45,23,20,2,35
Air India,Delhi,Cochin,1,10191,18,5,2019,13,0,19,15,6,15
Air India,Delhi,Cochin,2,10651,1,6,2019,19,45,19,15,23,30
Air India,Delhi,Cochin,1,6587,21,3,2019,19,0,19,15,24,15
Air India,Banglore,Delhi,0,5228,9,5,2019,10,0,12,45,2,45
GoAir,Delhi,Cochin,1,19495,6,3,2019,14,10,19,20,5,10
GoAir,Delhi,Cochin,1,7682,15,5,2019,7,0,12,55,5,55
GoAir,Banglore,Delhi,0,3898,3,4,2019,11,40,14,30,2,50
GoAir,Delhi,Cochin,1,5281,27,6,2019,7,0,12,55,5,55
GoAir,Kolkata,Banglore,1,6686,6,6,2019,23,30,7,45,8,15
GoAir,Banglore,Delhi,0,3898,27,6,2019,11,40,14,30,2,50
GoAir,Kolkata,Banglore,1,10091,24,3,2019,22,25,7,40,9,15
GoAir,Banglore,New Delhi,0,6722,3,3,2019,20,55,23,50,2,55
IndiGo,Banglore,New Delhi,0,3897,24,3,2019,22,20,1,10,2,50
IndiGo,Kolkata,Banglore,1,6218,12,5,2019,18,5,23,30,5,25
IndiGo,Banglore,New Delhi,1,13302,1,3,2019,16,50,21,35,4,45
IndiGo,Kolkata,Banglore,0,4174,18,4,2019,20,20,22,55,2,35
IndiGo,Kolkata,Banglore,0,4804,24,4,2019,17,15,19,50,2,35
IndiGo,Banglore,Delhi,0,3943,3,4,2019,4,0,6,50,2,50
IndiGo,Banglore,Delhi,0,4823,1,5,2019,18,55,21,50,2,55
IndiGo,Delhi,Cochin,1,8238,1,6,2019,21,50,3,35,5,45
IndiGo,Banglore,Delhi,0,4423,6,4,2019,4,0,6,50,2,50
IndiGo,Delhi,Cochin,1,5894,27,6,2019,10,35,21,0,10,25
IndiGo,Banglore,Delhi,0,3943,27,5,2019,4,0,6,50,2,50
IndiGo,Banglore,New Delhi,0,4377,24,3,2019,22,20,1,10,2,50
IndiGo,Banglore,Delhi,0,3943,18,6,2019,21,15,0,15,3,0
IndiGo,Delhi,Cochin,1,7191,15,5,2019,15,0,1,30,10,30
IndiGo,Delhi,Cochin,1,5894,24,6,2019,10,35,21,0,10,25
IndiGo,Chennai,Kolkata,0,6297,12,3,2019,13,20,15,35,2,15
IndiGo,Delhi,Cochin,1,6893,21,3,2019,5,5,10,5,5,0
IndiGo,Mumbai,Hyderabad,0,4049,3,4,2019,6,25,7,55,1,30
IndiGo,Delhi,Cochin,1,5894,27,6,2019,11,25,21,0,9,35
IndiGo,Delhi,Cochin,1,5636,24,6,2019,2,0,7,25,5,25
IndiGo,Chennai,Kolkata,0,3540,21,6,2019,5,15,7,40,2,25
IndiGo,Banglore,Delhi,0,5780,12,4,2019,18,55,21,50,2,55
IndiGo,Chennai,Kolkata,0,3540,12,5,2019,5,15,7,40,2,25
IndiGo,Banglore,Delhi,0,3943,24,6,2019,4,0,6,50,2,50
IndiGo,Chennai,Kolkata,0,3597,3,6,2019,14,45,17,5,2,20
IndiGo,Kolkata,Banglore,0,4804,15,6,2019,20,25,23,10,2,45
IndiGo,Delhi,Cochin,1,5636,15,6,2019,2,0,7,25,5,25
IndiGo,Delhi,Cochin,1,6442,9,6,2019,7,35,16,10,8,35
IndiGo,Delhi,Cochin,1,6147,24,6,2019,15,10,20,0,4,50
IndiGo,Banglore,New Delhi,0,8855,3,3,2019,18,55,21,45,2,50
IndiGo,Banglore,New Delhi,0,4777,24,3,2019,0,40,3,25,2,45
IndiGo,Delhi,Cochin,1,6442,9,5,2019,6,50,16,10,9,20
IndiGo,Banglore,Delhi,0,3419,27,5,2019,1,30,4,15,2,45
IndiGo,Delhi,Cochin,1,5073,3,4,2019,20,25,1,30,5,5
IndiGo,Chennai,Kolkata,0,3858,12,5,2019,14,45,17,5,2,20
IndiGo,Delhi,Cochin,1,5775,27,6,2019,21,50,3,35,5,45
IndiGo,Kolkata,Banglore,0,4804,3,6,2019,15,30,18,5,2,35
IndiGo,Banglore,New Delhi,1,8738,3,3,2019,12,10,17,5,4,55
IndiGo,Delhi,Cochin,1,6412,24,6,2019,16,10,22,30,6,20
IndiGo,Delhi,Cochin,0,5013,24,4,2019,5,35,8,50,3,15
IndiGo,Delhi,Cochin,1,7048,27,3,2019,16,0,1,35,9,35
IndiGo,Banglore,Delhi,0,3943,12,5,2019,0,30,3,25,2,55
IndiGo,Delhi,Cochin,1,6842,1,6,2019,5,10,10,5,4,55
IndiGo,Banglore,Delhi,0,4077,1,6,2019,1,30,4,15,2,45
IndiGo,Banglore,Delhi,0,3943,27,4,2019,23,30,2,20,2,50
IndiGo,Delhi,Cochin,1,6349,1,5,2019,21,50,3,35,5,45
IndiGo,Banglore,New Delhi,0,8855,15,3,2019,18,25,21,20,2,55
IndiGo,Banglore,Delhi,0,3943,24,4,2019,23,30,2,20,2,50
IndiGo,Delhi,Cochin,1,6979,15,5,2019,10,35,21,0,10,25
IndiGo,Banglore,Delhi,0,3359,3,6,2019,22,10,1,0,2,50
IndiGo,Kolkata,Banglore,0,4462,18,3,2019,9,35,12,20,2,45
IndiGo,Delhi,Cochin,1,6171,9,3,2019,4,55,16,10,11,15
Jet Airways,Delhi,Cochin,2,13882,9,6,2019,9,25,4,25,19,0
Jet Airways,Banglore,New Delhi,1,11087,12,3,2019,18,55,10,25,15,30
Jet Airways,Banglore,New Delhi,1,22270,1,3,2019,8,0,5,5,21,5
Jet Airways,Banglore,New Delhi,1,11087,12,3,2019,8,55,10,25,25,30
Jet Airways,Kolkata,Banglore,1,9663,9,5,2019,21,10,9,20,12,10
Jet Airways,Delhi,Cochin,1,10262,12,6,2019,14,0,12,35,22,35
Jet Airways,Delhi,Cochin,1,12898,27,5,2019,16,0,12,35,20,35
Jet Airways,Kolkata,Banglore,1,7757,6,5,2019,18,55,8,15,13,20
Jet Airways,Delhi,Cochin,2,13292,9,6,2019,21,25,12,35,15,10
Jet Airways,Delhi,Cochin,2,10919,15,6,2019,14,35,12,35,22,0
Jet Airways,Delhi,Cochin,1,12373,18,5,2019,7,5,12,35,5,30
Jet Airways,Banglore,New Delhi,1,19225,6,3,2019,7,0,13,15,6,15
Jet Airways,Delhi,Cochin,1,14924,3,6,2019,7,5,19,0,11,55
Jet Airways,Delhi,Cochin,1,12373,18,5,2019,20,55,19,0,22,5
Jet Airways,Delhi,Cochin,2,11150,27,6,2019,23,5,19,0,19,55
Jet Airways,Delhi,Cochin,0,7202,9,3,2019,11,0,14,15,3,15
Jet Airways,Kolkata,Banglore,1,12121,1,5,2019,9,35,10,55,25,20
Jet Airways,Kolkata,Banglore,1,14231,24,3,2019,19,45,12,0,16,15
Jet Airways,Mumbai,Hyderabad,0,5678,1,6,2019,7,5,8,30,1,25
Jet Airways,Banglore,New Delhi,1,9134,9,3,2019,5,45,8,15,26,30
Jet Airways,Delhi,Cochin,2,12819,24,6,2019,23,5,12,35,13,30
Jet Airways,Delhi,Cochin,1,10262,15,6,2019,17,30,12,35,19,5
Jet Airways,Kolkata,Banglore,1,10844,9,6,2019,21,10,12,0,14,50
Jet Airways,Banglore,New Delhi,0,7229,24,3,2019,19,55,22,35,2,40
Jet Airways,Kolkata,Banglore,1,13941,6,5,2019,6,30,4,40,22,10
Jet Airways,Banglore,New Delhi,1,13712,6,3,2019,14,5,11,25,21,20
Jet Airways,Delhi,Cochin,2,13014,6,6,2019,9,40,4,25,18,45
Jet Airways,Kolkata,Banglore,1,7064,1,4,2019,8,25,20,45,12,20
Jet Airways,Kolkata,Banglore,1,10703,24,5,2019,20,25,14,25,18,0
Jet Airways,Banglore,New Delhi,1,13817,12,3,2019,16,55,10,25,17,30
Jet Airways,Banglore,Delhi,0,6478,3,6,2019,19,50,22,50,3,0
Jet Airways,Mumbai,Hyderabad,0,8040,18,6,2019,7,5,8,30,1,25
Jet Airways,Delhi,Cochin,2,14300,12,6,2019,20,0,12,35,16,35
Jet Airways,Kolkata,Banglore,1,14781,15,5,2019,8,25,20,45,12,20
Jet Airways,Kolkata,Banglore,1,14939,9,6,2019,20,0,8,15,12,15
Jet Airways,Delhi,Cochin,1,10262,24,6,2019,20,55,4,25,7,30
Jet Airways,Delhi,Cochin,2,13029,18,5,2019,19,30,4,25,8,55
Jet Airways,Delhi,Cochin,2,15129,24,5,2019,23,5,19,0,19,55
Jet Airways,Banglore,New Delhi,1,13555,18,3,2019,14,5,5,5,15,0
Jet Airways,Delhi,Cochin,1,17024,6,3,2019,18,15,4,25,10,10
Jet Airways,Delhi,Cochin,1,15554,9,5,2019,7,5,19,0,11,55
Jet Airways,Kolkata,Banglore,1,9663,6,5,2019,20,0,10,5,14,5
Jet Airways,Kolkata,Banglore,1,13044,12,6,2019,14,5,8,15,18,10
Jet Airways,Kolkata,Banglore,1,14388,6,5,2019,20,0,12,0,16,0
Jet Airways,Delhi,Cochin,1,10262,15,6,2019,11,30,4,25,16,55
Jet Airways,Delhi,Cochin,2,15129,18,5,2019,19,10,19,0,23,50
Jet Airways,Delhi,Cochin,2,13376,6,6,2019,6,45,4,25,21,40
Jet Airways,Banglore,Delhi,0,4030,24,5,2019,6,0,8,45,2,45
Jet Airways,Delhi,Cochin,1,17024,3,3,2019,8,0,18,50,10,50
Jet Airways,Kolkata,Banglore,1,10844,21,5,2019,20,0,23,35,27,35
Jet Airways,Delhi,Cochin,2,15318,3,6,2019,20,0,4,25,8,25
Jet Airways,Delhi,Cochin,2,9270,21,3,2019,18,25,18,50,24,25
Jet Airways,Kolkata,Banglore,1,14781,12,5,2019,8,25,20,45,12,20
Jet Airways,Kolkata,Banglore,1,8586,24,5,2019,20,0,8,15,12,15
Jet Airways,Delhi,Cochin,2,14300,27,6,2019,20,0,12,35,16,35
Jet Airways,Kolkata,Banglore,1,10844,12,5,2019,16,30,18,15,25,45
Jet Airways,Delhi,Cochin,1,17024,6,3,2019,2,15,4,25,26,10
Jet Airways,Kolkata,Banglore,1,9314,1,5,2019,9,35,14,25,28,50
Jet Airways,Delhi,Cochin,1,12898,27,5,2019,13,0,4,25,15,25
Jet Airways,Delhi,Cochin,1,6540,27,3,2019,19,15,4,25,9,10
Jet Airways,Delhi,Cochin,1,5177,3,4,2019,14,0,12,35,22,35
Jet Airways,Kolkata,Banglore,1,14676,9,6,2019,9,35,21,5,11,30
Jet Airways,Kolkata,Banglore,1,9663,6,5,2019,21,10,9,20,12,10
Jet Airways,Kolkata,Banglore,1,13044,12,6,2019,16,30,10,5,17,35
Jet Airways,Kolkata,Banglore,1,9663,6,5,2019,14,5,10,5,20,0
Jet Airways,Delhi,Cochin,1,10262,1,6,2019,10,0,4,25,18,25
Jet Airways,Mumbai,Hyderabad,0,5678,27,3,2019,19,35,21,5,1,30
Jet Airways,Kolkata,Banglore,1,9663,6,5,2019,20,0,12,0,16,0
Jet Airways,Kolkata,Banglore,1,10539,6,6,2019,9,35,9,45,24,10
Jet Airways,Banglore,Delhi,0,8016,27,6,2019,18,55,22,0,3,5
Jet Airways,Banglore,New Delhi,1,11087,12,3,2019,20,35,15,15,18,40
Jet Airways,Kolkata,Banglore,1,12471,12,6,2019,16,30,4,40,12,10
Jet Airways,Delhi,Cochin,1,10262,24,6,2019,9,0,4,25,19,25
Jet Airways,Banglore,Delhi,0,7229,18,4,2019,15,15,18,10,2,55
Jet Airways,Kolkata,Banglore,1,10844,21,5,2019,14,5,23,35,9,30
Jet Airways,Delhi,Cochin,2,15129,18,5,2019,23,5,4,25,29,20
Jet Airways,Mumbai,Hyderabad,0,4995,24,6,2019,8,45,10,15,1,30
Jet Airways,Banglore,Delhi,0,7229,12,5,2019,15,15,18,10,2,55
Jet Airways,Mumbai,Hyderabad,0,4995,18,3,2019,7,10,8,35,1,25
Jet Airways,Delhi,Cochin,2,13014,9,6,2019,5,30,4,25,22,55
Jet Airways,Delhi,Cochin,2,18799,3,3,2019,5,25,18,50,37,25
Jet Airways,Mumbai,Hyderabad,0,4995,27,5,2019,10,20,11,50,1,30
Jet Airways,Delhi,Cochin,1,13843,9,3,2019,2,15,19,45,17,30
Jet Airways,Delhi,Cochin,1,17024,6,3,2019,18,15,19,45,25,30
Jet Airways,Banglore,New Delhi,1,13555,18,3,2019,11,40,20,20,8,40
Jet Airways,Kolkata,Banglore,1,10844,6,6,2019,6,30,12,0,5,30
Jet Airways,Delhi,Cochin,1,10577,9,6,2019,19,15,4,25,9,10
Jet Airways,Kolkata,Banglore,1,10844,24,5,2019,16,30,19,50,27,20
Jet Airways,Banglore,Delhi,0,5769,21,6,2019,7,10,10,10,3,0
Jet Airways,Delhi,Cochin,1,14714,6,6,2019,8,0,19,0,11,0
Jet Airways,Delhi,Cochin,2,13014,3,6,2019,5,30,19,0,13,30
Multiple carriers,Delhi,Cochin,1,8625,27,5,2019,11,25,19,15,7,50
Multiple carriers,Delhi,Cochin,1,9646,21,5,2019,7,5,18,10,11,5
Multiple carriers,Delhi,Cochin,1,13062,21,3,2019,9,0,21,0,12,0
Multiple carriers,Delhi,Cochin,1,8073,6,5,2019,19,0,1,30,6,30
Multiple carriers,Delhi,Cochin,1,12524,3,6,2019,8,45,19,0,10,15
Multiple carriers,Delhi,Cochin,1,10791,24,6,2019,11,40,19,0,7,20
Multiple carriers,Delhi,Cochin,1,10197,18,5,2019,9,0,19,0,10,0
Multiple carriers,Delhi,Cochin,1,9646,27,5,2019,13,15,22,30,9,15
Multiple carriers,Delhi,Cochin,1,17057,6,3,2019,2,15,13,20,11,5
Multiple carriers,Delhi,Cochin,1,11421,27,3,2019,11,40,18,50,7,10
Multiple carriers,Delhi,Cochin,1,7574,27,3,2019,4,45,19,15,14,30
Multiple carriers,Delhi,Cochin,1,10348,18,5,2019,7,5,22,30,15,25
Multiple carriers,Delhi,Cochin,1,15147,3,3,2019,15,25,1,35,10,10
Multiple carriers,Delhi,Cochin,1,14067,21,5,2019,11,30,1,30,14,0
Multiple carriers,Delhi,Cochin,1,13017,9,4,2019,17,30,1,30,8,0
Multiple carriers,Delhi,Cochin,1,9486,21,5,2019,13,5,0,55,11,50
Multiple carriers,Delhi,Cochin,1,7005,9,6,2019,12,50,21,0,8,10
Multiple carriers,Delhi,Cochin,1,13587,27,6,2019,11,30,21,0,9,30
Multiple carriers,Delhi,Cochin,1,14277,21,5,2019,8,0,21,0,13,0
Multiple carriers,Delhi,Cochin,1,13727,15,5,2019,16,0,1,30,9,30
Multiple carriers,Delhi,Cochin,1,12537,27,3,2019,7,5,15,30,8,25
Multiple carriers,Delhi,Cochin,1,10877,3,6,2019,6,40,19,0,12,20
Multiple carriers,Delhi,Cochin,1,9646,6,6,2019,7,5,16,10,9,5
Multiple carriers,Delhi,Cochin,1,7677,3,6,2019,8,30,19,15,10,45
Multiple carriers,Delhi,Cochin,1,12192,9,6,2019,9,0,19,0,10,0
Multiple carriers,Delhi,Cochin,1,14323,9,5,2019,10,0,19,15,9,15
Multiple carriers,Delhi,Cochin,1,13727,18,5,2019,7,5,21,0,13,55
Multiple carriers,Delhi,Cochin,1,12524,24,6,2019,8,45,19,0,10,15
Multiple carriers,Delhi,Cochin,1,13587,9,6,2019,9,0,21,0,12,0
Multiple carriers,Delhi,Cochin,1,6601,27,3,2019,9,45,22,20,12,35
SpiceJet,Kolkata,Banglore,0,3873,24,6,2019,9,0,11,25,2,25
SpiceJet,Delhi,Cochin,1,5830,15,4,2019,8,45,13,15,4,30
SpiceJet,Kolkata,Banglore,1,4649,21,5,2019,15,5,20,20,5,15
SpiceJet,Banglore,New Delhi,0,3527,24,3,2019,5,45,8,35,2,50
SpiceJet,Chennai,Kolkata,0,3332,21,3,2019,8,20,10,35,2,15
SpiceJet,Banglore,Delhi,0,3257,15,5,2019,5,55,8,35,2,40
SpiceJet,Banglore,Delhi,0,3971,9,4,2019,5,55,8,35,2,40
SpiceJet,Kolkata,Banglore,0,3873,3,4,2019,22,20,0,40,2,20
SpiceJet,Delhi,Cochin,1,5264,12,6,2019,8,45,13,15,4,30
SpiceJet,Banglore,Delhi,0,3311,21,5,2019,5,55,8,35,2,40
SpiceJet,Delhi,Cochin,1,4812,24,6,2019,8,45,13,15,4,30
SpiceJet,Chennai,Kolkata,0,3543,27,6,2019,9,45,12,0,2,15
SpiceJet,Delhi,Cochin,1,5583,6,6,2019,6,5,11,20,5,15
SpiceJet,Mumbai,Hyderabad,0,1965,21,5,2019,5,45,7,15,1,30
SpiceJet,Chennai,Kolkata,0,3543,12,6,2019,9,45,12,0,2,15
SpiceJet,Delhi,Cochin,1,5264,6,6,2019,8,45,13,15,4,30
SpiceJet,Mumbai,Hyderabad,0,3173,21,3,2019,13,10,14,30,1,20
Vistara,Banglore,Delhi,0,4668,18,6,2019,9,45,12,35,2,50
Vistara,Chennai,Kolkata,0,3687,15,6,2019,7,5,9,20,2,15
Vistara,Chennai,Kolkata,0,3687,18,6,2019,7,5,9,20,2,15
Vistara,Chennai,Kolkata,0,7414,6,3,2019,7,5,9,20,2,15
Vistara,Mumbai,Hyderabad,1,12395,6,3,2019,15,40,16,45,25,5
Vistara,Chennai,Kolkata,0,3687,24,5,2019,7,5,9,20,2,15
Vistara,Banglore,Delhi,0,5403,24,4,2019,9,45,12,35,2,50
Vistara,Banglore,New Delhi,0,7240,9,3,2019,9,50,12,35,2,45
Vistara,Kolkata,Banglore,1,9397,12,5,2019,20,20,9,5,12,45
Vistara,Banglore,Delhi,0,4668,12,6,2019,7,0,9,40,2,40
Vistara,Delhi,Cochin,0,6216,12,5,2019,14,40,17,50,3,10
Vistara,Kolkata,Banglore,1,9345,21,5,2019,17,0,18,50,25,50
Vistara,Banglore,Delhi,0,4878,27,6,2019,17,0,19,35,2,35
Vistara,Kolkata,Banglore,1,9555,9,6,2019,7,10,18,50,11,40
Vistara,Chennai,Kolkata,0,4842,18,3,2019,7,5,9,20,2,15
Vistara,Chennai,Kolkata,0,11982,27,6,2019,17,45,20,5,2,20
Vistara,Delhi,Cochin,0,8001,3,3,2019,6,0,9,10,3,10
